booking_id,number_of_adults,number_of_children,number_of_weekend_nights,number_of_week_nights,type_of_meal,room_type,lead_time,market_segment_type,average_price,special_requests,date_of_reservation,booking_status
INN09122,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN08993,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN08763,1,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,80.0,0,2017-07-01,Not_Canceled
INN16843,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN16947,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN04656,2,0,0,2,Meal Plan 2,Room_Type 1,257,Online,101.5,0,2017-07-01,Canceled
INN17109,1,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,80.0,0,2017-07-01,Not_Canceled
INN24533,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN23757,1,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,80.0,0,2017-07-01,Not_Canceled
INN32758,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN32763,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN23354,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN02539,1,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,80.0,0,2017-07-01,Not_Canceled
INN02487,2,0,0,2,Meal Plan 2,Room_Type 1,257,Online,101.5,0,2017-07-01,Canceled
INN26322,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN00770,2,0,0,2,Meal Plan 2,Room_Type 1,257,Online,101.5,0,2017-07-01,Canceled
INN32067,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN26473,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN21337,1,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,80.0,0,2017-07-01,Not_Canceled
INN08742,3,0,1,4,Meal Plan 1,Room_Type 1,181,Online,111.5,0,2017-07-01,Canceled
INN26528,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN20996,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN03872,2,0,0,2,Meal Plan 2,Room_Type 1,257,Online,101.5,0,2017-07-01,Canceled
INN03899,2,0,0,2,Meal Plan 2,Room_Type 1,257,Online,101.5,0,2017-07-01,Canceled
INN31969,1,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,80.0,0,2017-07-01,Not_Canceled
INN00696,2,0,0,2,Meal Plan 2,Room_Type 1,257,Online,101.5,0,2017-07-01,Canceled
INN26643,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN19656,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN04137,2,0,1,4,Meal Plan 1,Room_Type 1,181,Online,76.5,0,2017-07-01,Canceled
INN19250,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN33774,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN00584,1,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,80.0,0,2017-07-01,Not_Canceled
INN01133,2,0,0,2,Meal Plan 2,Room_Type 1,257,Online,101.5,0,2017-07-01,Canceled
INN17341,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN21037,1,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,80.0,0,2017-07-01,Not_Canceled
INN08291,2,0,2,4,Meal Plan 1,Room_Type 1,92,Online,76.5,2,2017-07-01,Not_Canceled
INN25389,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN07285,2,0,0,2,Meal Plan 2,Room_Type 1,257,Online,101.5,0,2017-07-01,Canceled
INN07680,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN30908,1,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,80.0,0,2017-07-01,Not_Canceled
INN06955,2,0,0,2,Meal Plan 2,Room_Type 1,257,Online,101.5,0,2017-07-01,Canceled
INN07200,2,0,0,2,Meal Plan 2,Room_Type 1,257,Online,101.5,0,2017-07-01,Canceled
INN24263,2,0,0,3,Meal Plan 1,Room_Type 1,79,Online,76.5,1,2017-07-02,Canceled
INN10935,1,0,1,3,Meal Plan 1,Room_Type 1,63,Online,68.0,0,2017-07-02,Canceled
INN28362,2,0,2,3,Meal Plan 1,Room_Type 1,62,Online,76.5,1,2017-07-02,Canceled
INN12317,2,0,0,2,Meal Plan 1,Room_Type 1,100,Online,76.5,1,2017-07-02,Canceled
INN07237,2,0,2,3,Meal Plan 1,Room_Type 1,62,Online,76.5,1,2017-07-02,Canceled
INN28476,2,0,1,2,Meal Plan 1,Room_Type 1,80,Online,76.5,1,2017-07-03,Canceled
INN17140,2,0,2,5,Not Selected,Room_Type 1,60,Online,60.27,0,2017-07-03,Not_Canceled
INN29528,2,0,0,2,Meal Plan 1,Room_Type 1,97,Offline,63.75,1,2017-07-03,Canceled
INN26747,1,0,1,1,Meal Plan 1,Room_Type 1,106,Online,68.0,0,2017-07-04,Canceled
INN07288,2,0,2,1,Meal Plan 1,Room_Type 1,92,Online,76.5,1,2017-07-04,Canceled
INN10420,2,0,2,1,Meal Plan 1,Room_Type 1,145,Online,76.5,2,2017-07-04,Canceled
INN18533,1,0,2,1,Meal Plan 1,Room_Type 1,68,Online,68.0,0,2017-07-04,Canceled
INN12333,2,0,2,1,Meal Plan 1,Room_Type 1,85,Online,52.36,0,2017-07-05,Canceled
INN01075,2,0,2,3,Meal Plan 1,Room_Type 1,92,Online,49.74,0,2017-07-05,Canceled
INN07026,2,0,2,1,Not Selected,Room_Type 1,71,Online,55.8,0,2017-07-05,Canceled
INN01156,1,0,1,4,Meal Plan 1,Room_Type 1,89,Online,68.0,1,2017-07-06,Canceled
INN08199,2,1,1,4,Meal Plan 2,Room_Type 1,100,Online,93.6,2,2017-07-06,Canceled
INN16503,2,0,1,0,Meal Plan 1,Room_Type 1,185,Online,66.13,0,2017-07-06,Canceled
INN31411,2,0,3,6,Meal Plan 1,Room_Type 1,72,Online,76.5,1,2017-07-06,Canceled
INN32350,2,0,1,1,Meal Plan 1,Room_Type 1,75,Online,76.5,1,2017-07-06,Canceled
INN10055,1,0,1,3,Meal Plan 1,Room_Type 1,92,Online,68.0,2,2017-07-06,Canceled
INN19481,2,0,1,3,Meal Plan 1,Room_Type 1,86,Online,76.5,0,2017-07-06,Canceled
INN19564,2,0,1,3,Meal Plan 1,Room_Type 1,157,Online,76.5,1,2017-07-06,Canceled
INN02109,2,0,2,5,Meal Plan 1,Room_Type 1,83,Online,76.5,1,2017-07-06,Canceled
INN16111,2,0,1,2,Meal Plan 1,Room_Type 1,111,Online,76.5,1,2017-07-06,Canceled
INN33866,1,0,0,4,Meal Plan 1,Room_Type 1,92,Online,68.0,0,2017-07-07,Canceled
INN15754,2,0,2,5,Meal Plan 1,Room_Type 1,77,Online,76.5,0,2017-07-07,Canceled
INN06703,2,0,0,3,Meal Plan 1,Room_Type 1,76,Online,76.5,2,2017-07-07,Not_Canceled
INN17259,2,0,0,4,Meal Plan 1,Room_Type 1,55,Online,81.0,2,2017-07-07,Canceled
INN02202,1,0,5,15,Not Selected,Room_Type 1,90,Online,48.6,0,2017-07-07,Canceled
INN31181,2,0,0,4,Meal Plan 1,Room_Type 1,61,Online,76.5,1,2017-07-07,Canceled
INN32070,1,0,5,15,Not Selected,Room_Type 1,90,Online,48.6,0,2017-07-07,Canceled
INN01524,2,0,0,3,Meal Plan 1,Room_Type 1,79,Complementary,37.33,1,2017-07-07,Not_Canceled
INN01520,2,1,0,2,Meal Plan 1,Room_Type 1,69,Offline,76.08,0,2017-07-07,Not_Canceled
INN32777,2,0,2,8,Meal Plan 1,Room_Type 1,54,Online,62.37,0,2017-07-07,Not_Canceled
INN02094,2,0,0,3,Meal Plan 1,Room_Type 1,76,Online,76.5,1,2017-07-07,Canceled
INN32908,2,0,0,4,Meal Plan 1,Room_Type 1,55,Online,90.0,2,2017-07-07,Canceled
INN01880,1,0,5,15,Meal Plan 1,Room_Type 1,117,Online,48.6,0,2017-07-07,Canceled
INN09356,2,0,0,4,Meal Plan 1,Room_Type 1,73,Online,68.0,0,2017-07-07,Canceled
INN31934,2,0,2,8,Not Selected,Room_Type 1,63,Online,68.85,0,2017-07-08,Canceled
INN27235,2,0,2,5,Meal Plan 1,Room_Type 1,72,Online,76.5,1,2017-07-08,Canceled
INN09832,2,0,2,8,Meal Plan 1,Room_Type 1,61,Online,68.85,0,2017-07-08,Canceled
INN12864,2,0,0,2,Meal Plan 1,Room_Type 1,105,Online,76.5,1,2017-07-08,Canceled
INN18938,2,0,1,4,Meal Plan 1,Room_Type 1,97,Online,76.5,2,2017-07-08,Canceled
INN19345,2,0,1,4,Meal Plan 1,Room_Type 1,51,Offline,67.5,0,2017-07-08,Not_Canceled
INN13398,2,0,1,4,Meal Plan 1,Room_Type 1,72,Online,76.5,0,2017-07-08,Not_Canceled
INN03706,2,0,2,3,Meal Plan 1,Room_Type 1,92,Online,58.9,1,2017-07-09,Not_Canceled
INN31746,2,0,0,3,Meal Plan 1,Room_Type 1,89,Online,76.5,1,2017-07-09,Canceled
INN23019,2,0,0,1,Meal Plan 1,Room_Type 1,150,Online,76.5,2,2017-07-09,Canceled
INN06283,3,0,0,2,Meal Plan 1,Room_Type 1,24,Online,100.0,0,2017-07-09,Canceled
INN22831,1,0,2,3,Meal Plan 1,Room_Type 1,115,Online,68.0,2,2017-07-10,Canceled
INN09702,2,0,3,7,Meal Plan 1,Room_Type 1,87,Online,58.9,1,2017-07-10,Canceled
INN26242,2,0,3,7,Meal Plan 1,Room_Type 1,87,Online,58.9,1,2017-07-10,Canceled
INN09263,2,0,0,2,Meal Plan 1,Room_Type 1,65,Online,68.85,1,2017-07-10,Canceled
INN06546,2,2,2,3,Meal Plan 1,Room_Type 1,67,Offline,106.25,0,2017-07-10,Not_Canceled
INN05372,2,0,2,1,Meal Plan 1,Room_Type 1,109,Online,76.5,1,2017-07-11,Canceled
INN01618,2,0,2,1,Meal Plan 1,Room_Type 1,65,Online,76.5,1,2017-07-11,Canceled
INN13122,1,0,0,1,Not Selected,Room_Type 1,71,Online,51.96,0,2017-07-11,Not_Canceled
INN35612,2,0,2,1,Meal Plan 2,Room_Type 1,96,Offline,94.5,0,2017-07-11,Canceled
INN19573,2,0,2,1,Meal Plan 2,Room_Type 1,96,Offline,94.5,0,2017-07-11,Not_Canceled
INN05252,2,0,2,1,Meal Plan 2,Room_Type 1,96,Offline,94.5,0,2017-07-11,Not_Canceled
INN20047,2,0,2,1,Meal Plan 2,Room_Type 1,96,Offline,94.5,0,2017-07-11,Canceled
INN02895,2,0,2,1,Meal Plan 2,Room_Type 1,96,Online,94.5,0,2017-07-11,Canceled
INN14754,1,0,0,1,Not Selected,Room_Type 1,71,Online,51.96,0,2017-07-11,Not_Canceled
INN35005,2,0,2,1,Meal Plan 2,Room_Type 1,96,Offline,94.5,0,2017-07-11,Not_Canceled
INN27433,2,0,2,1,Meal Plan 2,Room_Type 1,96,Offline,94.5,0,2017-07-11,Canceled
INN26588,2,0,2,1,Meal Plan 2,Room_Type 1,96,Offline,94.5,0,2017-07-11,Not_Canceled
INN00710,2,0,2,1,Meal Plan 1,Room_Type 1,114,Online,76.5,0,2017-07-11,Canceled
INN08681,1,0,3,6,Meal Plan 1,Room_Type 1,138,Online,68.0,1,2017-07-11,Canceled
INN06791,2,0,2,1,Meal Plan 2,Room_Type 1,96,Online,94.5,0,2017-07-11,Canceled
INN21007,2,0,0,1,Meal Plan 1,Room_Type 1,3,Offline,75.0,0,2017-07-11,Not_Canceled
INN21020,1,0,2,1,Meal Plan 2,Room_Type 1,3,Offline,72.5,0,2017-07-11,Not_Canceled
INN16649,1,0,2,1,Meal Plan 2,Room_Type 1,3,Offline,72.5,0,2017-07-11,Not_Canceled
INN16462,2,0,2,1,Meal Plan 2,Room_Type 1,96,Offline,94.5,0,2017-07-11,Canceled
INN22818,2,0,2,1,Meal Plan 2,Room_Type 1,96,Offline,94.5,0,2017-07-11,Not_Canceled
INN21685,2,0,2,1,Meal Plan 2,Room_Type 1,96,Offline,94.5,0,2017-07-11,Not_Canceled
INN00829,2,0,2,1,Meal Plan 2,Room_Type 1,96,Offline,94.5,0,2017-07-11,Not_Canceled
INN06805,2,0,2,1,Meal Plan 2,Room_Type 1,96,Online,94.5,0,2017-07-11,Canceled
INN01751,2,0,2,1,Meal Plan 1,Room_Type 1,61,Online,55.96,0,2017-07-11,Not_Canceled
INN27122,3,0,2,1,Meal Plan 2,Room_Type 1,3,Offline,138.5,0,2017-07-11,Not_Canceled
INN31797,2,0,2,1,Meal Plan 2,Room_Type 1,96,Offline,94.5,0,2017-07-11,Canceled
INN30292,2,0,2,1,Meal Plan 1,Room_Type 1,114,Online,76.5,0,2017-07-11,Canceled
INN18650,1,0,2,1,Meal Plan 2,Room_Type 1,3,Offline,72.5,0,2017-07-11,Not_Canceled
INN09275,2,0,2,1,Meal Plan 2,Room_Type 1,96,Offline,94.5,0,2017-07-11,Not_Canceled
INN25750,2,0,2,1,Meal Plan 2,Room_Type 1,96,Offline,94.5,0,2017-07-11,Not_Canceled
INN01102,2,0,2,1,Meal Plan 1,Room_Type 1,66,Online,58.9,0,2017-07-11,Not_Canceled
INN13486,3,0,0,1,Meal Plan 1,Room_Type 1,3,Offline,104.0,0,2017-07-11,Not_Canceled
INN02599,2,0,2,1,Meal Plan 2,Room_Type 1,96,Offline,94.5,0,2017-07-11,Not_Canceled
INN06510,2,0,2,1,Meal Plan 2,Room_Type 1,96,Offline,94.5,0,2017-07-11,Not_Canceled
INN31802,2,0,2,1,Meal Plan 2,Room_Type 1,96,Offline,94.5,0,2017-07-11,Canceled
INN31538,3,0,2,1,Meal Plan 2,Room_Type 1,3,Offline,138.5,0,2017-07-11,Not_Canceled
INN18632,2,0,2,1,Meal Plan 2,Room_Type 1,96,Offline,94.5,0,2017-07-11,Not_Canceled
INN26929,2,0,2,1,Meal Plan 1,Room_Type 1,61,Online,55.96,0,2017-07-11,Not_Canceled
INN33723,2,0,2,1,Meal Plan 2,Room_Type 1,96,Offline,94.5,0,2017-07-11,Not_Canceled
INN34832,2,0,2,1,Meal Plan 2,Room_Type 1,96,Offline,94.5,0,2017-07-11,Not_Canceled
INN18687,2,0,2,1,Meal Plan 2,Room_Type 1,96,Offline,94.5,0,2017-07-11,Canceled
INN02342,2,0,2,1,Meal Plan 2,Room_Type 1,96,Online,94.5,0,2017-07-11,Canceled
INN13830,2,0,2,0,Meal Plan 1,Room_Type 1,69,Online,76.5,1,2017-07-12,Canceled
INN33405,2,0,2,4,Meal Plan 1,Room_Type 1,59,Online,76.5,0,2017-07-12,Canceled
INN15072,2,0,1,0,Meal Plan 1,Room_Type 1,96,Offline,63.75,0,2017-07-13,Not_Canceled
INN20168,2,0,1,0,Meal Plan 1,Room_Type 1,123,Online,76.5,1,2017-07-13,Canceled
INN03403,2,0,1,0,Meal Plan 1,Room_Type 1,122,Online,76.5,2,2017-07-13,Canceled
INN22895,2,0,1,2,Meal Plan 1,Room_Type 1,77,Online,76.5,1,2017-07-13,Canceled
INN25451,2,0,1,2,Meal Plan 1,Room_Type 1,73,Online,76.5,0,2017-07-13,Canceled
INN12508,2,0,1,3,Meal Plan 1,Room_Type 1,123,Online,76.5,0,2017-07-13,Canceled
INN04696,2,0,1,0,Meal Plan 1,Room_Type 1,122,Online,76.5,2,2017-07-13,Canceled
INN35471,2,0,0,3,Meal Plan 1,Room_Type 1,94,Online,76.5,1,2017-07-14,Canceled
INN24614,2,0,0,5,Meal Plan 1,Room_Type 1,120,Online,76.5,1,2017-07-14,Canceled
INN22423,2,0,2,7,Meal Plan 1,Room_Type 1,94,Online,55.96,0,2017-07-14,Canceled
INN04192,2,0,0,4,Meal Plan 1,Room_Type 1,79,Online,85.5,1,2017-07-15,Canceled
INN06297,1,0,2,7,Meal Plan 1,Room_Type 1,62,Online,68.0,1,2017-07-15,Canceled
INN15707,2,0,2,4,Meal Plan 1,Room_Type 1,125,Online,76.5,0,2017-07-15,Canceled
INN25564,2,0,0,4,Meal Plan 1,Room_Type 4,92,Online,89.25,2,2017-07-15,Canceled
INN03496,1,0,2,7,Meal Plan 1,Room_Type 1,109,Online,68.0,1,2017-07-15,Canceled
INN04290,2,0,0,4,Meal Plan 1,Room_Type 4,92,Online,89.25,1,2017-07-15,Canceled
INN21589,2,0,0,1,Meal Plan 1,Room_Type 1,109,Online,76.5,0,2017-07-16,Canceled
INN02721,2,0,0,1,Meal Plan 1,Room_Type 1,109,Online,76.5,1,2017-07-16,Canceled
INN00202,2,0,0,2,Meal Plan 1,Room_Type 1,80,Online,76.5,1,2017-07-16,Canceled
INN04734,2,0,0,3,Meal Plan 1,Room_Type 1,82,Online,76.5,0,2017-07-16,Canceled
INN17743,2,0,0,2,Meal Plan 1,Room_Type 1,122,Online,85.5,0,2017-07-16,Canceled
INN19062,2,0,2,5,Meal Plan 1,Room_Type 1,82,Online,76.5,0,2017-07-16,Canceled
INN24481,1,0,0,2,Meal Plan 1,Room_Type 1,107,Online,52.36,0,2017-07-17,Canceled
INN14501,2,0,2,1,Meal Plan 2,Room_Type 1,103,Offline,94.5,0,2017-07-18,Canceled
INN02526,2,0,2,1,Meal Plan 2,Room_Type 1,103,Online,94.5,0,2017-07-18,Canceled
INN23756,2,0,2,1,Meal Plan 2,Room_Type 1,103,Offline,94.5,0,2017-07-18,Canceled
INN33632,2,0,2,1,Meal Plan 2,Room_Type 1,103,Offline,94.5,0,2017-07-18,Canceled
INN22427,3,0,2,1,Meal Plan 2,Room_Type 1,103,Offline,138.5,0,2017-07-18,Not_Canceled
INN00892,2,0,2,1,Meal Plan 2,Room_Type 1,103,Online,94.5,0,2017-07-18,Canceled
INN22072,2,0,2,1,Meal Plan 2,Room_Type 1,103,Offline,94.5,0,2017-07-18,Canceled
INN24238,2,0,2,1,Meal Plan 2,Room_Type 1,103,Offline,94.5,0,2017-07-18,Canceled
INN35544,2,0,2,1,Meal Plan 2,Room_Type 1,103,Offline,94.5,0,2017-07-18,Not_Canceled
INN33490,2,0,2,1,Meal Plan 2,Room_Type 1,103,Offline,94.5,0,2017-07-18,Canceled
INN16948,2,0,2,1,Meal Plan 2,Room_Type 1,103,Offline,94.5,0,2017-07-18,Canceled
INN20222,2,0,2,1,Meal Plan 2,Room_Type 1,103,Offline,94.5,0,2017-07-18,Canceled
INN27557,1,0,2,2,Meal Plan 1,Room_Type 1,88,Online,68.0,1,2017-07-18,Canceled
INN02628,2,0,2,1,Meal Plan 2,Room_Type 1,103,Online,94.5,0,2017-07-18,Canceled
INN26644,2,0,2,1,Meal Plan 2,Room_Type 1,103,Offline,94.5,0,2017-07-18,Not_Canceled
INN27052,2,0,2,1,Meal Plan 2,Room_Type 1,103,Offline,94.5,0,2017-07-18,Canceled
INN32241,1,0,2,1,Meal Plan 2,Room_Type 1,103,Offline,72.5,0,2017-07-18,Not_Canceled
INN07318,2,0,2,1,Meal Plan 2,Room_Type 1,103,Online,94.5,0,2017-07-18,Canceled
INN31972,2,0,2,1,Meal Plan 2,Room_Type 1,103,Offline,94.5,0,2017-07-18,Canceled
INN21835,2,0,2,1,Meal Plan 2,Room_Type 1,103,Offline,94.5,0,2017-07-18,Canceled
INN31344,2,0,2,1,Meal Plan 2,Room_Type 1,103,Offline,94.5,0,2017-07-18,Canceled
INN08296,2,0,2,1,Meal Plan 2,Room_Type 1,103,Offline,94.5,0,2017-07-18,Canceled
INN25348,1,0,2,1,Meal Plan 2,Room_Type 1,103,Offline,72.5,0,2017-07-18,Not_Canceled
INN27779,2,0,2,1,Meal Plan 2,Room_Type 1,103,Offline,94.5,0,2017-07-18,Not_Canceled
INN28411,2,0,2,1,Meal Plan 2,Room_Type 1,103,Offline,94.5,0,2017-07-18,Not_Canceled
INN09808,2,0,2,1,Meal Plan 2,Room_Type 1,103,Offline,94.5,0,2017-07-18,Canceled
INN22645,1,0,3,5,Meal Plan 1,Room_Type 1,96,Online,80.7,0,2017-07-19,Canceled
INN18346,2,0,4,7,Meal Plan 1,Room_Type 1,108,Online,76.5,1,2017-07-19,Canceled
INN29632,2,0,2,2,Meal Plan 1,Room_Type 2,82,Online,76.5,1,2017-07-19,Canceled
INN27814,2,0,2,0,Meal Plan 1,Room_Type 1,118,Online,85.5,1,2017-07-19,Canceled
INN30594,2,0,2,2,Meal Plan 1,Room_Type 2,82,Online,76.5,1,2017-07-19,Canceled
INN17242,2,0,3,8,Meal Plan 1,Room_Type 1,67,Online,76.5,0,2017-07-20,Canceled
INN24562,1,0,1,0,Meal Plan 1,Room_Type 1,119,Online,68.0,1,2017-07-20,Canceled
INN10178,2,0,1,1,Not Selected,Room_Type 1,90,Online,46.66,0,2017-07-20,Not_Canceled
INN32384,2,0,1,3,Meal Plan 2,Room_Type 1,62,Offline,104.0,0,2017-07-20,Not_Canceled
INN11783,2,0,1,0,Meal Plan 1,Room_Type 1,119,Online,76.5,1,2017-07-20,Canceled
INN23536,2,0,0,2,Not Selected,Room_Type 1,106,Online,55.08,0,2017-07-21,Canceled
INN19294,2,0,0,4,Meal Plan 1,Room_Type 1,112,Online,76.5,0,2017-07-22,Canceled
INN29264,1,0,0,2,Meal Plan 1,Room_Type 1,111,Online,55.96,1,2017-07-22,Not_Canceled
INN15994,2,0,2,5,Meal Plan 1,Room_Type 1,69,Online,76.5,2,2017-07-22,Canceled
INN10828,1,0,0,4,Meal Plan 1,Room_Type 1,69,Online,68.0,1,2017-07-22,Canceled
INN12112,2,0,2,5,Meal Plan 1,Room_Type 1,69,Online,76.5,1,2017-07-22,Canceled
INN18148,2,0,2,5,Meal Plan 1,Room_Type 1,72,Online,76.5,0,2017-07-22,Canceled
INN25131,2,0,1,4,Meal Plan 1,Room_Type 1,96,Online,76.5,1,2017-07-22,Canceled
INN17229,1,0,0,2,Meal Plan 1,Room_Type 1,96,Online,68.0,1,2017-07-23,Canceled
INN10534,2,0,0,1,Meal Plan 2,Room_Type 2,110,Offline,98.2,1,2017-07-23,Not_Canceled
INN16975,2,0,0,2,Meal Plan 1,Room_Type 1,93,Online,76.5,1,2017-07-23,Canceled
INN01884,2,0,0,1,Meal Plan 2,Room_Type 2,110,Offline,98.2,1,2017-07-23,Not_Canceled
INN13049,2,0,2,3,Meal Plan 1,Room_Type 1,85,Online,76.5,0,2017-07-24,Canceled
INN09852,2,0,2,1,Meal Plan 2,Room_Type 1,110,Offline,94.5,0,2017-07-25,Canceled
INN35916,2,0,2,1,Meal Plan 2,Room_Type 1,110,Offline,94.5,0,2017-07-25,Canceled
INN31277,2,0,2,1,Meal Plan 2,Room_Type 1,110,Offline,94.5,0,2017-07-25,Not_Canceled
INN00333,2,0,2,1,Meal Plan 2,Room_Type 1,110,Online,94.5,0,2017-07-25,Canceled
INN25418,2,0,2,1,Meal Plan 2,Room_Type 1,110,Offline,94.5,0,2017-07-25,Not_Canceled
INN01041,2,0,2,1,Meal Plan 2,Room_Type 1,110,Online,94.5,0,2017-07-25,Canceled
INN30302,2,0,2,1,Meal Plan 2,Room_Type 1,110,Offline,94.5,0,2017-07-25,Canceled
INN01542,2,0,2,1,Meal Plan 1,Room_Type 1,205,Online,76.5,2,2017-07-25,Not_Canceled
INN26650,2,0,2,1,Meal Plan 2,Room_Type 1,110,Offline,94.5,0,2017-07-25,Canceled
INN30563,2,0,2,1,Meal Plan 2,Room_Type 1,110,Offline,94.5,0,2017-07-25,Canceled
INN24289,2,0,2,1,Meal Plan 2,Room_Type 1,110,Offline,94.5,0,2017-07-25,Canceled
INN30268,2,0,2,1,Meal Plan 2,Room_Type 1,110,Offline,94.5,0,2017-07-25,Canceled
INN23824,2,0,1,1,Meal Plan 1,Room_Type 1,124,Online,76.5,2,2017-07-25,Canceled
INN02491,2,0,2,1,Meal Plan 2,Room_Type 1,110,Online,94.5,0,2017-07-25,Canceled
INN19205,2,0,2,1,Meal Plan 2,Room_Type 1,110,Offline,94.5,0,2017-07-25,Canceled
