booking_id,number_of_adults,number_of_children,number_of_weekend_nights,number_of_week_nights,type_of_meal,car_parking_space,room_type,lead_time,market_segment_type,repeated,p_c,p_not_c,average_price,special_requests,date_of_reservation,booking_status
INN00610,2,0,1,3,Meal Plan 1,0,Room_Type 1,17,Online,0,0,0,100.38,0,2018-12-08,Not_Canceled
INN00612,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,Corporate,0,0,0,160.0,0,2018-09-27,Not_Canceled
INN00613,2,0,2,1,Meal Plan 1,0,Room_Type 1,37,Online,0,0,0,126.0,1,2018-10-02,Not_Canceled
INN00625,2,0,0,2,Meal Plan 1,0,Room_Type 1,29,Corporate,0,0,0,85.0,1,2018-12-02,Not_Canceled
INN00628,2,0,2,2,Meal Plan 1,0,Room_Type 1,167,Online,0,0,0,108.9,1,2018-10-01,Canceled
INN00638,2,0,1,3,Meal Plan 1,0,Room_Type 1,85,Offline,0,0,0,85.0,1,2018-10-06,Not_Canceled
INN00646,3,0,1,1,Meal Plan 1,0,Room_Type 4,52,Online,0,0,0,158.4,1,2018-10-17,Canceled
INN00648,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,105.0,0,2018-10-13,Not_Canceled
INN00649,2,0,0,3,Meal Plan 1,0,Room_Type 4,57,Online,0,0,0,219.6,0,2018-12-29,Canceled
INN00651,2,0,0,1,Not Selected,0,Room_Type 1,7,Online,0,0,0,120.0,0,2018-10-26,Not_Canceled
INN00659,2,0,1,2,Meal Plan 1,0,Room_Type 1,48,Offline,0,0,0,75.0,0,2018-10-31,Not_Canceled
INN00662,2,0,0,1,Meal Plan 1,0,Room_Type 1,15,Online,0,0,0,139.0,1,2018-09-20,Not_Canceled
INN00666,2,0,2,0,Meal Plan 2,0,Room_Type 1,386,Online,0,0,0,115.0,1,2018-10-23,Canceled
INN00668,2,0,2,1,Not Selected,0,Room_Type 1,10,Online,0,0,0,107.8,3,2018-10-16,Not_Canceled
INN00669,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,105.0,0,2018-10-13,Not_Canceled
INN00685,2,0,0,1,Not Selected,1,Room_Type 1,1,Online,0,0,0,108.0,1,2018-11-18,Not_Canceled
INN00688,2,0,2,5,Not Selected,0,Room_Type 1,6,Online,0,0,0,78.69,0,2018-11-17,Canceled
INN00689,2,0,0,3,Not Selected,0,Room_Type 1,58,Online,0,0,0,79.2,0,2018-11-03,Canceled
INN00692,2,0,0,4,Meal Plan 1,0,Room_Type 1,13,Online,0,0,0,88.4,1,2018-12-14,Not_Canceled
INN00694,2,0,1,2,Meal Plan 1,0,Room_Type 4,189,Online,0,0,0,109.8,0,2018-10-28,Canceled
INN00695,2,0,2,1,Meal Plan 1,0,Room_Type 1,271,Offline,0,0,0,78.3,0,2018-12-03,Not_Canceled
INN00698,2,0,2,2,Meal Plan 1,0,Room_Type 1,108,Online,0,0,0,104.0,2,2018-12-25,Not_Canceled
INN00700,2,1,0,1,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,150.0,1,2018-11-05,Canceled
INN00704,3,0,2,2,Meal Plan 1,0,Room_Type 4,60,Online,0,0,0,130.9,0,2018-12-23,Canceled
INN00705,2,0,0,3,Not Selected,0,Room_Type 1,21,Online,0,0,0,116.1,0,2018-10-04,Canceled
INN00713,2,0,0,1,Meal Plan 1,0,Room_Type 1,16,Online,0,0,0,93.0,0,2018-11-16,Not_Canceled
INN00715,2,0,0,3,Meal Plan 1,0,Room_Type 1,105,Offline,0,0,0,75.0,0,2018-10-12,Not_Canceled
INN00728,2,0,0,3,Meal Plan 1,0,Room_Type 4,91,Online,0,0,0,132.3,2,2018-10-20,Canceled
INN00731,2,0,0,4,Meal Plan 2,0,Room_Type 1,152,Offline,0,0,0,98.0,0,2018-11-01,Not_Canceled
INN00739,2,0,1,2,Not Selected,0,Room_Type 1,7,Online,0,0,0,120.0,0,2018-12-30,Not_Canceled
INN00744,2,0,0,3,Meal Plan 1,0,Room_Type 1,304,Online,0,0,0,89.0,0,2018-11-03,Canceled
INN00747,3,0,0,4,Meal Plan 2,0,Room_Type 1,65,Offline,0,0,0,122.65,0,2018-12-21,Not_Canceled
INN00753,2,0,0,3,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,160.0,2,2018-10-20,Not_Canceled
INN00755,2,0,0,3,Not Selected,0,Room_Type 1,52,Online,0,0,0,79.2,2,2018-12-07,Not_Canceled
INN00757,2,0,0,4,Meal Plan 2,0,Room_Type 1,296,Online,0,0,0,117.0,1,2018-09-21,Canceled
INN00760,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,Online,0,0,0,110.0,0,2018-11-01,Canceled
INN00769,2,0,2,2,Meal Plan 1,0,Room_Type 4,44,Offline,0,0,0,87.2,0,2018-12-03,Not_Canceled
INN00783,3,0,0,3,Meal Plan 1,0,Room_Type 1,74,Offline,0,0,0,92.65,0,2018-12-27,Not_Canceled
INN00785,2,0,0,1,Meal Plan 1,0,Room_Type 1,14,Online,0,0,0,160.0,0,2018-10-22,Canceled
INN00790,1,0,1,0,Meal Plan 1,0,Room_Type 1,6,Corporate,0,0,0,89.0,0,2018-10-03,Not_Canceled
INN00796,2,0,2,1,Meal Plan 1,0,Room_Type 1,349,Online,0,0,0,78.3,0,2018-12-24,Canceled
INN00800,2,0,1,2,Meal Plan 1,0,Room_Type 4,71,Online,0,0,0,101.87,1,2018-10-21,Not_Canceled
INN00801,1,0,0,1,Meal Plan 1,0,Room_Type 1,105,Corporate,1,3,17,65.0,0,2018-09-28,Not_Canceled
INN00807,2,0,0,3,Not Selected,0,Room_Type 1,35,Online,0,0,0,109.0,2,2018-10-27,Not_Canceled
INN00816,2,0,2,1,Meal Plan 1,0,Room_Type 1,130,Offline,0,0,0,68.0,0,2018-11-26,Not_Canceled
INN00819,2,0,0,3,Not Selected,0,Room_Type 1,221,Online,0,0,0,79.5,2,2018-12-29,Canceled
INN00831,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,Online,0,0,0,110.0,0,2018-11-01,Canceled
INN00838,2,0,0,4,Not Selected,0,Room_Type 1,17,Online,0,0,0,74.8,2,2018-11-16,Not_Canceled
INN00841,2,0,2,3,Meal Plan 1,0,Room_Type 4,159,Online,0,0,0,134.46,2,2018-09-30,Canceled
INN00856,2,0,0,2,Meal Plan 1,0,Room_Type 4,69,Online,0,0,0,102.6,0,2018-11-04,Not_Canceled
INN00860,2,1,1,4,Meal Plan 1,0,Room_Type 1,73,Online,0,0,0,135.0,1,2018-10-12,Canceled
INN00864,2,0,0,2,Meal Plan 1,0,Room_Type 1,29,Corporate,0,0,0,85.0,0,2018-12-02,Not_Canceled
INN00865,2,0,1,1,Meal Plan 1,0,Room_Type 4,11,Offline,0,0,0,107.0,0,2018-10-10,Not_Canceled
INN00866,2,0,0,2,Meal Plan 1,0,Room_Type 1,29,Corporate,0,0,0,85.0,2,2018-12-02,Not_Canceled
INN00872,2,0,1,2,Meal Plan 2,0,Room_Type 1,315,Online,0,0,0,160.0,0,2018-09-30,Canceled
INN00873,1,0,2,0,Meal Plan 1,0,Room_Type 1,3,Online,0,0,0,150.0,2,2018-10-30,Not_Canceled
INN00874,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,Offline,0,0,0,90.0,0,2018-10-13,Not_Canceled
INN00878,1,0,0,2,Meal Plan 1,0,Room_Type 1,181,Online,0,0,0,120.0,0,2018-10-11,Canceled
INN00881,2,0,2,0,Meal Plan 1,0,Room_Type 1,83,Offline,0,0,0,75.0,0,2018-12-18,Not_Canceled
INN00883,2,0,2,3,Meal Plan 1,0,Room_Type 4,92,Online,0,0,0,96.9,1,2018-12-22,Not_Canceled
INN00888,2,0,1,0,Meal Plan 1,0,Room_Type 1,286,Online,0,0,0,90.0,0,2018-10-16,Canceled
INN00895,1,0,1,0,Meal Plan 1,0,Room_Type 1,24,Corporate,1,0,2,95.0,0,2018-10-03,Not_Canceled
INN00898,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,Complementary,1,2,7,0.0,3,2018-10-06,Not_Canceled
INN00900,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,105.0,0,2018-10-13,Not_Canceled
INN00905,2,0,0,3,Meal Plan 1,0,Room_Type 1,65,Online,0,0,0,135.9,3,2018-09-27,Not_Canceled
INN00906,2,0,2,1,Meal Plan 1,0,Room_Type 1,179,Online,0,0,0,108.9,2,2018-10-01,Canceled
INN00908,2,0,1,1,Meal Plan 1,0,Room_Type 1,80,Online,0,0,0,93.6,0,2018-11-12,Canceled
INN00914,1,0,0,1,Meal Plan 1,0,Room_Type 1,19,Offline,0,0,0,75.0,0,2018-11-02,Not_Canceled
INN00924,3,0,0,3,Meal Plan 1,0,Room_Type 4,156,Online,0,0,0,122.4,0,2018-12-27,Not_Canceled
INN00927,2,0,1,0,Not Selected,0,Room_Type 1,28,Online,0,0,0,126.0,0,2018-10-03,Canceled
INN00928,2,0,2,1,Meal Plan 2,0,Room_Type 1,87,Offline,0,0,0,112.25,1,2018-10-23,Not_Canceled
INN00932,1,0,0,3,Meal Plan 1,0,Room_Type 1,6,Offline,0,0,0,75.0,0,2018-11-01,Not_Canceled
INN00933,1,0,2,2,Meal Plan 1,0,Room_Type 1,162,Online,0,0,0,115.0,0,2018-10-14,Canceled
INN00940,2,0,0,2,Meal Plan 1,0,Room_Type 1,141,Online,0,0,0,128.8,1,2018-09-23,Not_Canceled
INN00952,2,0,0,2,Meal Plan 1,0,Room_Type 1,56,Offline,0,0,0,75.0,0,2018-11-16,Not_Canceled
INN00954,1,0,2,1,Meal Plan 1,0,Room_Type 1,93,Online,0,0,0,115.0,0,2018-10-15,Canceled
INN00955,0,2,1,1,Meal Plan 1,0,Room_Type 2,92,Online,0,0,0,81.5,2,2018-10-29,Not_Canceled
INN00957,1,0,2,3,Meal Plan 1,0,Room_Type 1,27,Online,0,0,0,143.3,1,2018-11-06,Not_Canceled
INN00964,2,0,1,2,Meal Plan 2,0,Room_Type 1,418,Online,0,0,0,107.0,0,2018-09-26,Canceled
INN00972,2,0,0,4,Not Selected,0,Room_Type 1,133,Online,0,0,0,118.8,3,2018-09-27,Not_Canceled
INN00975,2,0,0,2,Meal Plan 1,0,Room_Type 1,141,Online,0,0,0,90.0,0,2018-11-25,Not_Canceled
INN00990,2,0,1,2,Not Selected,0,Room_Type 1,99,Online,0,0,0,161.1,2,2018-11-07,Not_Canceled
INN00994,2,1,1,2,Meal Plan 1,0,Room_Type 1,81,Online,0,0,0,135.0,0,2018-10-21,Canceled
INN00995,2,0,1,1,Meal Plan 1,0,Room_Type 1,58,Online,0,0,0,102.15,1,2018-10-31,Not_Canceled
INN00998,1,0,0,1,Meal Plan 1,0,Room_Type 1,79,Online,0,0,0,86.4,1,2018-12-22,Not_Canceled
INN01016,3,0,0,4,Meal Plan 1,0,Room_Type 1,71,Offline,0,0,0,105.0,0,2018-12-06,Not_Canceled
INN01023,2,0,2,3,Meal Plan 1,0,Room_Type 1,359,Offline,0,0,0,78.0,1,2018-10-14,Not_Canceled
INN01026,2,0,0,3,Meal Plan 1,0,Room_Type 1,304,Online,0,0,0,89.0,0,2018-11-03,Canceled
INN01031,2,0,1,2,Meal Plan 1,0,Room_Type 1,11,Offline,0,0,0,85.0,0,2018-10-03,Not_Canceled
INN01035,2,0,1,0,Not Selected,0,Room_Type 1,30,Online,0,0,0,108.0,3,2018-12-12,Not_Canceled
