index,booking_id,number_of_adults,number_of_children,number_of_weekend_nights,number_of_week_nights,type_of_meal,car_parking_space,room_type,lead_time,market_segment_type,repeated,p_c,p_not_c,average_price,special_requests,date_of_reservation,booking_status,datetime,season
38,INN00039,2,0,2,3,Not Selected,False,Room_Type 1,247,Online,False,0,0,63.75,0,2018-11-19,Canceled,2018-11-19,high
39,INN00040,2,0,2,1,Meal Plan 1,False,Room_Type 4,186,Online,False,0,0,121.8,1,2018-07-30,Canceled,2018-07-30,low
40,INN00041,2,0,0,4,Meal Plan 1,False,Room_Type 1,64,Online,False,0,0,93.6,2,2018-11-01,Not_Canceled,2018-11-01,low
41,INN00042,2,0,0,2,Meal Plan 1,False,Room_Type 1,35,Online,False,0,0,102.0,1,2018-06-21,Not_Canceled,2018-06-21,high
42,INN00043,3,0,2,1,Meal Plan 1,False,Room_Type 1,96,Online,False,0,0,121.8,1,2018-04-10,Not_Canceled,2018-04-10,high
43,INN00044,2,0,1,1,Not Selected,False,Room_Type 1,41,Online,False,0,0,98.1,1,2018-06-27,Canceled,2018-06-27,high
44,INN00045,2,0,0,4,Meal Plan 1,False,Room_Type 4,55,Offline,False,0,0,60.0,1,2017-11-18,Not_Canceled,2017-11-18,low
45,INN00046,2,0,0,3,Meal Plan 1,False,Room_Type 1,146,Offline,False,0,0,75.0,0,2017-12-29,Not_Canceled,2017-12-29,low
46,INN00047,1,0,0,2,Meal Plan 1,False,Room_Type 1,32,Offline,False,0,0,73.0,0,2017-11-20,Not_Canceled,2017-11-20,high
47,INN00048,2,0,0,1,Meal Plan 2,False,Room_Type 1,55,Offline,False,0,0,104.0,0,2018-04-06,Not_Canceled,2018-04-06,low
48,INN00049,2,0,0,4,Not Selected,False,Room_Type 1,57,Online,False,0,0,79.2,1,2018-11-01,Not_Canceled,2018-11-01,high
49,INN00050,1,0,1,3,Meal Plan 1,False,Room_Type 4,7,Online,False,0,0,125.8,2,2018-12-29,Not_Canceled,2018-12-29,low
50,INN00051,1,0,2,5,Not Selected,False,Room_Type 1,124,Online,False,0,0,87.95,0,2018-05-30,Not_Canceled,2018-05-30,low
51,INN00052,2,0,2,2,Meal Plan 2,False,Room_Type 1,169,Online,False,0,0,106.0,0,2018-04-22,Canceled,2018-04-22,low
52,INN00053,1,0,1,2,Meal Plan 1,False,Room_Type 1,6,Online,False,0,0,136.67,1,2018-05-16,Not_Canceled,2018-05-16,low
53,INN00054,2,0,0,4,Meal Plan 1,False,Room_Type 4,51,Offline,False,0,0,60.0,1,2017-11-11,Not_Canceled,2017-11-11,low
54,INN00055,2,0,1,0,Not Selected,False,Room_Type 1,13,Online,False,0,0,89.0,2,2018-06-13,Not_Canceled,2018-06-13,high
55,INN00056,2,0,1,3,Meal Plan 1,False,Room_Type 1,100,Online,False,0,0,136.0,1,2018-05-19,Not_Canceled,2018-05-19,high
56,INN00057,2,0,0,1,Not Selected,False,Room_Type 1,139,Online,False,0,0,94.5,1,2018-07-28,Not_Canceled,2018-07-28,high
57,INN00058,2,0,1,2,Meal Plan 1,False,Room_Type 1,117,Online,False,0,0,93.6,2,2018-12-26,Not_Canceled,2018-12-26,low
58,INN00059,2,0,1,4,Meal Plan 1,False,Room_Type 4,39,Online,False,0,0,120.6,0,2018-04-20,Canceled,2018-04-20,low
59,INN00060,2,0,0,3,Meal Plan 1,False,Room_Type 4,86,Online,False,0,0,99.3,1,2018-04-06,Not_Canceled,2018-04-06,high
61,INN00062,1,0,0,3,Meal Plan 1,False,Room_Type 4,19,Online,False,0,0,120.12,2,2018-05-03,Not_Canceled,2018-05-03,low
62,INN00063,1,0,0,2,Meal Plan 1,False,Room_Type 1,192,Offline,False,0,0,95.0,0,2018-06-24,Not_Canceled,2018-06-24,low
63,INN00064,1,0,0,1,Meal Plan 1,False,Room_Type 1,2,Complementary,False,0,0,0.0,1,2017-09-10,Not_Canceled,2017-09-10,low
64,INN00065,2,0,2,1,Meal Plan 1,False,Room_Type 1,86,Offline,False,0,0,75.0,0,2018-12-18,Not_Canceled,2018-12-18,low
65,INN00066,2,0,0,3,Meal Plan 1,False,Room_Type 4,30,Online,False,0,0,157.5,2,2018-10-05,Not_Canceled,2018-10-05,low
66,INN00067,2,0,0,2,Meal Plan 1,False,Room_Type 4,179,Online,False,0,0,97.7,1,2018-06-03,Not_Canceled,2018-06-03,low
67,INN00068,2,0,0,2,Meal Plan 1,False,Room_Type 4,26,Online,False,0,0,142.0,0,2018-04-15,Canceled,2018-04-15,low
68,INN00069,2,0,0,1,Meal Plan 1,False,Room_Type 1,55,Offline,False,0,0,80.0,0,2018-04-06,Not_Canceled,2018-04-06,low
69,INN00070,2,0,1,2,Meal Plan 1,False,Room_Type 1,74,Online,False,0,0,85.5,1,2018-04-25,Not_Canceled,2018-04-25,high
70,INN00071,2,0,0,3,Meal Plan 1,False,Room_Type 1,143,Offline,False,0,0,100.0,0,2018-08-25,Not_Canceled,2018-08-25,low
71,INN00072,2,0,1,0,Not Selected,False,Room_Type 1,34,Online,False,0,0,88.0,2,2018-11-14,Not_Canceled,2018-11-14,high
72,INN00073,2,0,1,1,Meal Plan 1,True,Room_Type 1,30,Online,False,0,0,122.85,1,2018-08-29,Not_Canceled,2018-08-29,low
73,INN00074,2,0,0,2,Meal Plan 1,False,Room_Type 1,177,Online,False,0,0,100.0,0,2018-06-03,Canceled,2018-06-03,low
74,INN00075,2,0,2,3,Meal Plan 1,False,Room_Type 4,34,Offline,False,0,0,75.0,0,2017-10-25,Not_Canceled,2017-10-25,low
75,INN00076,2,0,1,4,Meal Plan 1,False,Room_Type 4,18,Online,False,0,0,116.8,1,2018-03-09,Not_Canceled,2018-03-09,low
76,INN00077,3,0,1,1,Meal Plan 1,False,Room_Type 4,267,Online,False,0,0,121.5,0,2018-12-31,Not_Canceled,2018-12-31,low
77,INN00078,2,0,1,2,Meal Plan 1,False,Room_Type 1,64,Online,False,0,0,111.9,1,2018-06-27,Not_Canceled,2018-06-27,high
78,INN00079,3,0,2,5,Meal Plan 1,False,Room_Type 4,155,Online,False,0,0,121.55,2,2018-06-28,Canceled,2018-06-28,low
79,INN00080,2,0,0,5,Meal Plan 1,False,Room_Type 1,46,Offline,False,0,0,75.0,1,2018-03-29,Not_Canceled,2018-03-29,low
80,INN00081,2,2,0,2,Meal Plan 1,False,Room_Type 6,83,Online,False,0,0,159.3,0,2018-04-01,Canceled,2018-04-01,high
81,INN00082,2,0,0,5,Meal Plan 1,False,Room_Type 4,128,Online,False,0,0,132.3,0,2018-10-11,Canceled,2018-10-11,low
82,INN00083,2,0,2,0,Not Selected,False,Room_Type 1,20,Online,False,0,0,88.0,2,2018-12-25,Not_Canceled,2018-12-25,low
83,INN00084,2,0,1,4,Meal Plan 1,False,Room_Type 4,40,Online,False,0,0,98.82,0,2018-03-14,Not_Canceled,2018-03-14,low
84,INN00085,2,0,1,2,Meal Plan 1,True,Room_Type 4,46,Online,False,0,0,98.3,1,2018-03-04,Not_Canceled,2018-03-04,low
85,INN00086,1,0,1,0,Meal Plan 1,False,Room_Type 1,1,Online,False,0,0,150.0,2,2018-10-17,Not_Canceled,2018-10-17,low
87,INN00088,1,0,0,2,Meal Plan 1,False,Room_Type 1,188,Online,False,0,0,130.0,0,2018-06-15,Canceled,2018-06-15,high
88,INN00089,2,0,0,1,Not Selected,False,Room_Type 1,17,Online,True,0,5,95.0,0,2018-12-10,Not_Canceled,2018-12-10,high
89,INN00090,2,0,0,3,Meal Plan 1,False,Room_Type 5,146,Offline,False,0,0,113.56,0,2018-08-09,Not_Canceled,2018-08-09,low
90,INN00091,2,0,1,3,Not Selected,False,Room_Type 1,110,Online,False,0,0,101.58,1,2018-05-05,Not_Canceled,2018-05-05,high
91,INN00092,2,0,1,2,Meal Plan 1,True,Room_Type 1,68,Online,False,0,0,105.3,0,2018-03-18,Not_Canceled,2018-03-18,low
92,INN00093,2,0,2,1,Meal Plan 1,False,Room_Type 4,73,Online,False,0,0,115.8,1,2018-04-09,Not_Canceled,2018-04-09,high
93,INN00094,2,0,0,1,Meal Plan 1,False,Room_Type 4,92,Online,False,0,0,149.4,1,2018-05-19,Not_Canceled,2018-05-19,high
94,INN00095,2,0,2,5,Meal Plan 1,False,Room_Type 1,171,Online,False,0,0,111.59,0,2018-08-30,Canceled,2018-08-30,low
95,INN00096,2,1,0,2,Meal Plan 1,True,Room_Type 1,134,Online,False,0,0,130.5,2,2018-08-04,Not_Canceled,2018-08-04,high
97,INN00098,2,0,0,4,Meal Plan 1,False,Room_Type 1,118,Online,False,0,0,90.95,1,2018-04-13,Not_Canceled,2018-04-13,high
98,INN00099,2,0,0,3,Meal Plan 1,False,Room_Type 1,30,Online,False,0,0,76.08,1,2018-11-17,Not_Canceled,2018-11-17,high
99,INN00100,2,2,1,3,Meal Plan 1,False,Room_Type 6,30,Online,False,0,0,156.9,0,2018-12-22,Not_Canceled,2018-12-22,low
100,INN00101,2,0,1,0,Not Selected,False,Room_Type 1,189,Online,False,0,0,85.5,2,2018-10-23,Not_Canceled,2018-10-23,low
101,INN00102,3,0,1,2,Meal Plan 1,False,Room_Type 4,55,Online,False,0,0,159.3,2,2018-05-13,Not_Canceled,2018-05-13,high
102,INN00103,1,0,0,4,Meal Plan 1,False,Room_Type 1,55,Online,False,0,0,74.8,2,2018-12-13,Not_Canceled,2018-12-13,low
103,INN00104,2,0,0,1,Meal Plan 1,False,Room_Type 1,16,Online,False,0,0,95.0,1,2017-10-31,Not_Canceled,2017-10-31,low
104,INN00105,2,0,0,3,Meal Plan 1,False,Room_Type 1,24,Online,False,0,0,107.0,1,2017-10-08,Not_Canceled,2017-10-08,low
105,INN00106,2,0,0,3,Meal Plan 1,False,Room_Type 1,8,Offline,False,0,0,64.0,0,2018-02-16,Not_Canceled,2018-02-16,low
106,INN00107,2,0,1,4,Meal Plan 1,True,Room_Type 1,10,Online,False,0,0,82.95,0,2017-11-02,Not_Canceled,2017-11-02,low
108,INN00109,2,0,0,1,Not Selected,False,Room_Type 1,12,Online,False,0,0,101.68,1,2018-06-30,Not_Canceled,2018-06-30,high
111,INN00112,2,0,1,0,Not Selected,False,Room_Type 1,1,Online,False,0,0,127.0,1,2018-06-27,Not_Canceled,2018-06-27,high
112,INN00113,2,0,0,3,Not Selected,False,Room_Type 1,122,Online,False,0,0,116.1,2,2018-06-16,Not_Canceled,2018-06-16,low
113,INN00114,2,0,2,3,Meal Plan 1,False,Room_Type 1,40,Online,False,0,0,117.9,1,2018-06-30,Not_Canceled,2018-06-30,high
114,INN00115,2,2,2,2,Meal Plan 1,False,Room_Type 2,116,Online,False,0,0,184.24,1,2018-06-26,Canceled,2018-06-26,low
115,INN00116,3,0,2,2,Meal Plan 1,True,Room_Type 4,123,Online,False,0,0,155.7,1,2018-08-13,Not_Canceled,2018-08-13,high
116,INN00117,3,0,2,5,Meal Plan 1,False,Room_Type 4,40,Online,False,0,0,135.76,0,2018-04-22,Canceled,2018-04-22,high
117,INN00118,2,1,2,5,Meal Plan 1,False,Room_Type 1,105,Online,False,0,0,102.83,3,2018-11-12,Not_Canceled,2018-11-12,low
119,INN00120,2,0,2,3,Meal Plan 1,False,Room_Type 1,2,Online,False,0,0,103.0,1,2017-11-14,Not_Canceled,2017-11-14,low
122,INN00123,2,0,1,3,Meal Plan 1,False,Room_Type 1,68,Online,False,0,0,73.95,0,2018-03-10,Canceled,2018-03-10,low
123,INN00124,2,0,0,3,Meal Plan 1,False,Room_Type 1,148,Online,False,0,0,105.3,0,2018-05-05,Not_Canceled,2018-05-05,low
124,INN00125,3,0,2,0,Meal Plan 1,False,Room_Type 4,68,Online,False,0,0,133.2,2,2018-04-24,Not_Canceled,2018-04-24,high
125,INN00126,2,0,0,2,Meal Plan 1,False,Room_Type 1,30,Offline,False,0,0,85.5,0,2018-03-30,Not_Canceled,2018-03-30,low
126,INN00127,1,0,0,1,Meal Plan 1,False,Room_Type 1,14,Online,False,0,0,112.0,1,2018-11-03,Canceled,2018-11-03,low
127,INN00128,2,2,0,2,Meal Plan 1,False,Room_Type 6,110,Online,False,0,0,190.8,0,2018-10-14,Canceled,2018-10-14,low
128,INN00129,1,0,2,3,Meal Plan 1,False,Room_Type 1,117,Offline,False,0,0,110.0,0,2018-06-05,Not_Canceled,2018-06-05,low
129,INN00130,2,0,1,4,Meal Plan 1,False,Room_Type 4,85,Online,False,0,0,91.48,1,2018-07-13,Not_Canceled,2018-07-13,low
130,INN00131,2,0,0,2,Not Selected,False,Room_Type 1,1,Online,False,0,0,135.0,2,2018-10-20,Not_Canceled,2018-10-20,low
131,INN00132,1,0,1,2,Meal Plan 1,False,Room_Type 1,25,Online,False,0,0,129.0,2,2018-10-17,Not_Canceled,2018-10-17,low
133,INN00134,2,0,1,4,Meal Plan 1,False,Room_Type 4,28,Offline,False,0,0,75.0,0,2017-10-19,Not_Canceled,2017-10-19,low
134,INN00135,1,0,0,4,Not Selected,False,Room_Type 1,80,Online,False,0,0,72.25,0,2018-03-29,Not_Canceled,2018-03-29,high
135,INN00136,2,0,0,1,Meal Plan 1,False,Room_Type 4,11,Online,False,0,0,155.0,2,2017-10-09,Not_Canceled,2017-10-09,low
136,INN00137,2,1,1,0,Meal Plan 1,False,Room_Type 1,162,Online,False,0,0,121.5,2,2018-07-25,Canceled,2018-07-25,low
137,INN00138,2,0,2,5,Meal Plan 1,False,Room_Type 1,155,Online,False,0,0,90.95,2,2018-06-28,Not_Canceled,2018-06-28,low
138,INN00139,1,0,2,2,Meal Plan 1,False,Room_Type 1,82,Online,False,0,0,109.65,0,2018-05-22,Not_Canceled,2018-05-22,high
139,INN00140,3,0,2,4,Meal Plan 1,False,Room_Type 4,27,Online,False,0,0,142.72,0,2018-04-15,Canceled,2018-04-15,low
140,INN00141,1,0,1,2,Meal Plan 1,False,Room_Type 1,13,Offline,False,0,0,90.0,0,2018-05-09,Not_Canceled,2018-05-09,low
141,INN00142,2,0,0,2,Meal Plan 1,False,Room_Type 1,245,Online,False,0,0,75.0,0,2018-06-17,Canceled,2018-06-17,low
142,INN00143,2,0,0,2,Meal Plan 1,False,Room_Type 1,11,Online,False,0,0,111.0,1,2018-11-18,Canceled,2018-11-18,low
143,INN00144,2,0,2,2,Meal Plan 1,False,Room_Type 1,266,Online,False,0,0,86.7,2,2018-10-30,Not_Canceled,2018-10-30,high
144,INN00145,2,0,1,0,Meal Plan 1,False,Room_Type 1,39,Online,False,0,0,117.9,1,2018-03-28,Not_Canceled,2018-03-28,low
145,INN00146,1,0,0,2,Meal Plan 1,False,Room_Type 1,13,Complementary,True,3,5,0.0,1,2018-06-01,Not_Canceled,2018-06-01,high
146,INN00147,2,0,0,4,Not Selected,False,Room_Type 1,112,Online,False,0,0,101.58,1,2018-05-04,Not_Canceled,2018-05-04,high
147,INN00148,2,0,1,2,Not Selected,False,Room_Type 1,88,Online,False,0,0,58.9,1,2018-04-08,Not_Canceled,2018-04-08,high
148,INN00149,2,0,0,1,Meal Plan 1,False,Room_Type 1,56,Offline,False,0,0,120.0,0,2018-06-08,Not_Canceled,2018-06-08,high
149,INN00150,2,0,2,3,Meal Plan 1,False,Room_Type 4,73,Online,False,0,0,107.1,0,2018-04-07,Canceled,2018-04-07,high
150,INN00151,2,0,1,1,Meal Plan 1,False,Room_Type 1,80,Online,False,0,0,126.9,1,2018-05-02,Not_Canceled,2018-05-02,high
152,INN00153,2,0,1,3,Not Selected,False,Room_Type 1,69,Online,False,0,0,80.75,1,2018-04-04,Not_Canceled,2018-04-04,high
153,INN00154,2,0,0,2,Meal Plan 2,False,Room_Type 1,273,Online,False,0,0,109.0,0,2017-07-17,Canceled,2017-07-17,low
154,INN00155,2,0,0,1,Meal Plan 2,False,Room_Type 1,55,Offline,False,0,0,104.0,0,2018-04-06,Not_Canceled,2018-04-06,low
155,INN00156,1,0,0,3,Meal Plan 1,False,Room_Type 1,4,Corporate,True,1,5,65.0,1,2018-11-01,Not_Canceled,2018-11-01,low
156,INN00157,2,0,0,3,Meal Plan 1,False,Room_Type 4,97,Online,False,0,0,140.4,0,2018-05-24,Not_Canceled,2018-05-24,high
157,INN00158,2,0,0,3,Meal Plan 1,False,Room_Type 1,44,Offline,False,0,0,75.0,0,2018-02-17,Not_Canceled,2018-02-17,low
158,INN00159,2,0,0,1,Not Selected,False,Room_Type 1,31,Online,False,0,0,94.5,0,2018-04-14,Canceled,2018-04-14,low
159,INN00160,2,0,1,0,Not Selected,False,Room_Type 1,0,Online,False,0,0,109.0,0,2018-06-05,Not_Canceled,2018-06-05,high
160,INN00161,2,0,2,2,Meal Plan 1,False,Room_Type 1,62,Online,False,0,0,105.0,2,2018-11-12,Not_Canceled,2018-11-12,low
161,INN00162,2,0,2,2,Meal Plan 1,False,Room_Type 4,86,Online,False,0,0,107.95,1,2018-04-17,Not_Canceled,2018-04-17,high
162,INN00163,3,0,2,2,Meal Plan 1,False,Room_Type 7,3,Online,False,0,0,215.6,1,2018-10-07,Not_Canceled,2018-10-07,low
163,INN00164,2,0,1,1,Not Selected,False,Room_Type 1,197,Online,False,0,0,85.5,1,2018-08-01,Not_Canceled,2018-08-01,low
164,INN00165,2,0,0,2,Meal Plan 1,False,Room_Type 1,143,Online,False,0,0,105.3,2,2018-07-12,Not_Canceled,2018-07-12,high
165,INN00166,1,0,2,1,Meal Plan 2,False,Room_Type 1,23,Online,False,0,0,1.0,0,2018-01-02,Not_Canceled,2018-01-02,low
166,INN00167,2,0,0,2,Meal Plan 1,False,Room_Type 4,8,Online,False,0,0,156.0,0,2018-06-15,Canceled,2018-06-15,high
167,INN00168,1,0,0,2,Meal Plan 1,False,Room_Type 1,13,Online,False,0,0,73.15,1,2018-11-16,Not_Canceled,2018-11-16,low
168,INN00169,2,0,1,2,Meal Plan 1,False,Room_Type 1,280,Online,False,0,0,110.0,0,2018-09-19,Canceled,2018-09-19,high
169,INN00170,2,1,1,0,Not Selected,False,Room_Type 1,11,Online,False,0,0,87.4,1,2017-09-13,Not_Canceled,2017-09-13,low
171,INN00172,2,0,1,2,Not Selected,False,Room_Type 1,185,Online,False,0,0,79.2,0,2018-12-16,Canceled,2018-12-16,high
172,INN00173,2,0,1,3,Meal Plan 1,False,Room_Type 1,160,Online,False,0,0,90.95,1,2018-06-30,Not_Canceled,2018-06-30,high
173,INN00174,2,0,0,4,Meal Plan 1,False,Room_Type 1,104,Online,False,0,0,91.48,1,2018-10-18,Not_Canceled,2018-10-18,low
174,INN00175,2,1,0,1,Meal Plan 1,False,Room_Type 1,11,Online,False,0,0,150.0,1,2018-11-05,Canceled,2018-11-05,low
175,INN00176,2,0,0,1,Not Selected,False,Room_Type 1,2,Online,False,0,0,89.0,0,2018-03-22,Not_Canceled,2018-03-22,low
176,INN00177,2,0,1,4,Not Selected,False,Room_Type 1,14,Online,False,0,0,91.43,1,2018-08-17,Not_Canceled,2018-08-17,high
177,INN00178,2,0,0,2,Meal Plan 1,False,Room_Type 1,22,Offline,False,0,0,140.0,0,2018-05-20,Not_Canceled,2018-05-20,high
178,INN00179,1,1,2,5,Not Selected,False,Room_Type 1,37,Online,False,0,0,87.78,0,2017-10-24,Not_Canceled,2017-10-24,low
181,INN00182,2,0,1,3,Meal Plan 1,False,Room_Type 1,86,Online,False,0,0,82.45,1,2018-03-31,Not_Canceled,2018-03-31,high
182,INN00183,2,0,0,1,Not Selected,False,Room_Type 1,109,Online,False,0,0,108.0,0,2018-10-11,Canceled,2018-10-11,low
183,INN00184,2,0,1,1,Meal Plan 1,False,Room_Type 4,72,Online,False,0,0,96.3,1,2018-04-02,Not_Canceled,2018-04-02,high
184,INN00185,2,0,1,5,Meal Plan 1,False,Room_Type 1,196,Online,False,0,0,99.45,0,2018-08-22,Canceled,2018-08-22,low
185,INN00186,2,0,0,2,Meal Plan 1,False,Room_Type 4,56,Online,False,0,0,140.4,1,2018-05-13,Not_Canceled,2018-05-13,high
186,INN00187,2,0,1,3,Meal Plan 1,False,Room_Type 1,189,Offline,False,0,0,72.25,0,2018-08-08,Not_Canceled,2018-08-08,low
187,INN00188,2,0,1,4,Meal Plan 1,False,Room_Type 4,126,Online,False,0,0,126.0,0,2018-08-15,Not_Canceled,2018-08-15,high
189,INN00190,1,0,2,2,Meal Plan 1,False,Room_Type 4,81,Online,False,0,0,146.6,1,2018-11-06,Not_Canceled,2018-11-06,low
190,INN00191,2,0,1,2,Meal Plan 1,False,Room_Type 1,54,Online,False,0,0,118.8,0,2018-10-10,Canceled,2018-10-10,high
191,INN00192,1,0,0,1,Meal Plan 1,False,Room_Type 1,15,Online,False,0,0,145.0,0,2018-10-06,Canceled,2018-10-06,low
192,INN00193,2,0,0,4,Meal Plan 1,False,Room_Type 1,86,Online,False,0,0,84.58,0,2018-04-06,Canceled,2018-04-06,high
193,INN00194,2,0,1,2,Meal Plan 2,False,Room_Type 1,161,Online,False,0,0,130.0,0,2018-03-25,Canceled,2018-03-25,low
194,INN00195,2,0,4,10,Meal Plan 1,False,Room_Type 4,147,Online,False,0,0,118.88,1,2018-08-03,Canceled,2018-08-03,high
195,INN00196,2,0,1,2,Meal Plan 1,False,Room_Type 1,92,Offline,False,0,0,101.52,0,2018-05-30,Not_Canceled,2018-05-30,high
196,INN00197,2,0,0,1,Meal Plan 1,False,Room_Type 1,87,Corporate,False,0,0,100.0,0,2017-09-11,Canceled,2017-09-11,high
197,INN00198,2,0,2,1,Meal Plan 1,False,Room_Type 1,109,Offline,False,0,0,58.0,0,2018-03-20,Not_Canceled,2018-03-20,high
198,INN00199,2,0,0,4,Meal Plan 1,False,Room_Type 1,127,Offline,False,0,0,61.5,2,2018-03-23,Not_Canceled,2018-03-23,high
200,INN00201,2,0,1,4,Not Selected,False,Room_Type 1,156,Online,False,0,0,87.3,1,2018-08-24,Not_Canceled,2018-08-24,low
201,INN00202,2,0,0,2,Meal Plan 1,False,Room_Type 1,80,Online,False,0,0,76.5,1,2017-07-16,Canceled,2017-07-16,low
202,INN00203,2,0,2,2,Not Selected,False,Room_Type 1,211,Online,False,0,0,63.75,0,2018-12-16,Canceled,2018-12-16,high
203,INN00204,2,0,1,2,Meal Plan 1,False,Room_Type 1,273,Online,False,0,0,95.0,0,2018-05-13,Canceled,2018-05-13,low
204,INN00205,2,0,2,1,Meal Plan 1,False,Room_Type 1,58,Offline,False,0,0,75.0,1,2018-11-19,Not_Canceled,2018-11-19,low
