index,number_of_adults,number_of_children,number_of_weekend_nights,number_of_week_nights,lead_time,average_price,special_requests,date_of_reservation,booking_status,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online,market_segment_type_Other,room_type_Other,room_type_Room_Type 1,room_type_Room_Type 4,season_high,season_low,type_of_meal_Meal Plan 1,type_of_meal_Meal Plan 2,type_of_meal_Not Selected
24,2,0,2,1,130,94.5,1,2018-05-22,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
25,2,0,0,2,99,114.3,1,2018-04-28,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
26,2,0,1,1,60,65.0,0,2017-09-21,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
27,1,0,0,2,2,110.0,0,2018-05-19,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
28,1,0,1,2,37,37.33,0,2017-11-06,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
29,2,0,0,2,56,82.0,0,2017-09-17,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
30,2,0,1,1,3,177.5,1,2017-09-19,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
33,2,0,0,1,2,69.5,1,2018-01-09,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
35,2,0,0,1,23,115.0,1,2018-04-27,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
36,1,0,2,1,34,81.0,0,2018-06-19,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
39,2,0,2,1,186,121.8,1,2018-07-30,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
41,2,0,0,2,35,102.0,1,2018-06-21,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
42,3,0,2,1,96,121.8,1,2018-04-10,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
43,2,0,1,1,41,98.1,1,2018-06-27,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
44,2,0,0,4,55,60.0,1,2017-11-18,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
45,2,0,0,3,146,75.0,0,2017-12-29,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
46,1,0,0,2,32,73.0,0,2017-11-20,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
47,2,0,0,1,55,104.0,0,2018-04-06,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
50,1,0,2,5,124,87.95,0,2018-05-30,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
51,2,0,2,2,169,106.0,0,2018-04-22,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
52,1,0,1,2,6,136.67,1,2018-05-16,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
53,2,0,0,4,51,60.0,1,2017-11-11,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
54,2,0,1,0,13,89.0,2,2018-06-13,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
55,2,0,1,3,100,136.0,1,2018-05-19,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
56,2,0,0,1,139,94.5,1,2018-07-28,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
58,2,0,1,4,39,120.6,0,2018-04-20,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
59,2,0,0,3,86,99.3,1,2018-04-06,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
61,1,0,0,3,19,120.12,2,2018-05-03,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
62,1,0,0,2,192,95.0,0,2018-06-24,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
66,2,0,0,2,179,97.7,1,2018-06-03,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
67,2,0,0,2,26,142.0,0,2018-04-15,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
68,2,0,0,1,55,80.0,0,2018-04-06,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
69,2,0,1,2,74,85.5,1,2018-04-25,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
70,2,0,0,3,143,100.0,0,2018-08-25,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
72,2,0,1,1,30,122.85,1,2018-08-29,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
73,2,0,0,2,177,100.0,0,2018-06-03,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
74,2,0,2,3,34,75.0,0,2017-10-25,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
75,2,0,1,4,18,116.8,1,2018-03-09,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
77,2,0,1,2,64,111.9,1,2018-06-27,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
78,3,0,2,5,155,121.55,2,2018-06-28,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
79,2,0,0,5,46,75.0,1,2018-03-29,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
80,2,2,0,2,83,159.3,0,2018-04-01,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
83,2,0,1,4,40,98.82,0,2018-03-14,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
84,2,0,1,2,46,98.3,1,2018-03-04,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
86,2,0,2,3,196,96.05,1,2018-09-04,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
87,1,0,0,2,188,130.0,0,2018-06-15,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
89,2,0,0,3,146,113.56,0,2018-08-09,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
90,2,0,1,3,110,101.58,1,2018-05-05,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
91,2,0,1,2,68,105.3,0,2018-03-18,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
92,2,0,2,1,73,115.8,1,2018-04-09,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
93,2,0,0,1,92,149.4,1,2018-05-19,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
94,2,0,2,5,171,111.59,0,2018-08-30,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
95,2,1,0,2,134,130.5,2,2018-08-04,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
97,2,0,0,4,118,90.95,1,2018-04-13,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
101,3,0,1,2,55,159.3,2,2018-05-13,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
103,2,0,0,1,16,95.0,1,2017-10-31,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
104,2,0,0,3,24,107.0,1,2017-10-08,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
105,2,0,0,3,8,64.0,0,2018-02-16,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
106,2,0,1,4,10,82.95,0,2017-11-02,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
107,2,0,1,3,0,155.0,1,2017-09-21,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
108,2,0,0,1,12,101.68,1,2018-06-30,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
109,2,0,2,1,32,94.5,3,2017-09-05,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
111,2,0,1,0,1,127.0,1,2018-06-27,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
112,2,0,0,3,122,116.1,2,2018-06-16,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
113,2,0,2,3,40,117.9,1,2018-06-30,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
115,3,0,2,2,123,155.7,1,2018-08-13,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
116,3,0,2,5,40,135.76,0,2018-04-22,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
119,2,0,2,3,2,103.0,1,2017-11-14,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
122,2,0,1,3,68,73.95,0,2018-03-10,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
123,2,0,0,3,148,105.3,0,2018-05-05,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
124,3,0,2,0,68,133.2,2,2018-04-24,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
125,2,0,0,2,30,85.5,0,2018-03-30,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
128,1,0,2,3,117,110.0,0,2018-06-05,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
129,2,0,1,4,85,91.48,1,2018-07-13,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
133,2,0,1,4,28,75.0,0,2017-10-19,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
134,1,0,0,4,80,72.25,0,2018-03-29,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
135,2,0,0,1,11,155.0,2,2017-10-09,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
136,2,1,1,0,162,121.5,2,2018-07-25,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
137,2,0,2,5,155,90.95,2,2018-06-28,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
138,1,0,2,2,82,109.65,0,2018-05-22,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
139,3,0,2,4,27,142.72,0,2018-04-15,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
140,1,0,1,2,13,90.0,0,2018-05-09,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
141,2,0,0,2,245,75.0,0,2018-06-17,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
144,2,0,1,0,39,117.9,1,2018-03-28,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
146,2,0,0,4,112,101.58,1,2018-05-04,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
147,2,0,1,2,88,58.9,1,2018-04-08,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
148,2,0,0,1,56,120.0,0,2018-06-08,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
149,2,0,2,3,73,107.1,0,2018-04-07,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
150,2,0,1,1,80,126.9,1,2018-05-02,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
152,2,0,1,3,69,80.75,1,2018-04-04,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
154,2,0,0,1,55,104.0,0,2018-04-06,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
156,2,0,0,3,97,140.4,0,2018-05-24,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
157,2,0,0,3,44,75.0,0,2018-02-17,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
158,2,0,0,1,31,94.5,0,2018-04-14,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
159,2,0,1,0,0,109.0,0,2018-06-05,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
161,2,0,2,2,86,107.95,1,2018-04-17,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
163,2,0,1,1,197,85.5,1,2018-08-01,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
164,2,0,0,2,143,105.3,2,2018-07-12,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
166,2,0,0,2,8,156.0,0,2018-06-15,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
169,2,1,1,0,11,87.4,1,2017-09-13,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
172,2,0,1,3,160,90.95,1,2018-06-30,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
175,2,0,0,1,2,89.0,0,2018-03-22,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
176,2,0,1,4,14,91.43,1,2018-08-17,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
177,2,0,0,2,22,140.0,0,2018-05-20,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
178,1,1,2,5,37,87.78,0,2017-10-24,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
180,2,0,0,3,11,80.85,1,2017-09-09,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
181,2,0,1,3,86,82.45,1,2018-03-31,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
183,2,0,1,1,72,96.3,1,2018-04-02,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
184,2,0,1,5,196,99.45,0,2018-08-22,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
185,2,0,0,2,56,140.4,1,2018-05-13,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
186,2,0,1,3,189,72.25,0,2018-08-08,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
187,2,0,1,4,126,126.0,0,2018-08-15,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
192,2,0,0,4,86,84.58,0,2018-04-06,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
193,2,0,1,2,161,130.0,0,2018-03-25,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
194,2,0,4,10,147,118.88,1,2018-08-03,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
195,2,0,1,2,92,101.52,0,2018-05-30,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
196,2,0,0,1,87,100.0,0,2017-09-11,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
197,2,0,2,1,109,58.0,0,2018-03-20,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
198,2,0,0,4,127,61.5,2,2018-03-23,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
200,2,0,1,4,156,87.3,1,2018-08-24,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
201,2,0,0,2,80,76.5,1,2017-07-16,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
206,2,0,1,3,111,101.58,1,2018-05-02,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
207,2,0,2,3,34,85.0,0,2018-08-21,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
210,2,0,0,3,6,106.07,1,2017-09-22,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
211,2,0,1,1,32,105.0,1,2018-07-18,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
212,2,0,0,1,4,145.0,2,2017-09-22,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
213,3,0,2,1,195,106.03,1,2018-08-13,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
214,2,0,2,2,119,114.3,1,2018-08-13,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
216,2,0,0,2,59,89.25,2,2017-10-15,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
217,2,1,2,5,78,86.32,1,2018-03-20,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
219,2,0,2,5,103,55.96,0,2017-08-22,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
220,1,0,0,2,0,109.0,1,2018-06-08,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
221,2,0,0,1,118,86.0,0,2018-03-01,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
222,2,0,1,5,56,118.95,0,2018-09-05,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
223,2,0,0,2,107,130.0,1,2018-06-10,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
224,2,0,1,3,70,90.56,1,2018-04-14,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
225,2,0,0,2,76,87.3,1,2018-04-01,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
226,2,2,2,2,144,177.65,1,2018-05-27,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
228,2,1,0,2,15,127.0,1,2018-03-18,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
229,1,0,1,2,32,72.9,0,2018-02-05,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
230,3,0,1,1,49,159.3,0,2018-05-07,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
231,2,1,1,3,77,135.15,1,2018-05-12,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
233,2,0,1,0,0,114.0,0,2017-10-18,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
234,2,1,0,1,58,125.1,1,2018-06-21,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
235,2,0,2,6,4,95.13,1,2017-08-14,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
236,2,0,0,2,117,105.84,0,2018-04-29,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
239,2,0,1,0,31,94.5,0,2018-04-24,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
240,2,0,2,4,79,120.6,0,2018-06-16,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
241,2,0,1,2,1,139.33,0,2017-10-09,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
242,2,0,0,2,21,105.0,0,2017-09-03,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
243,2,0,0,2,12,100.0,1,2018-09-14,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
244,2,0,1,0,33,80.3,1,2018-02-08,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
245,1,0,0,2,164,100.0,0,2017-10-02,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
246,2,0,0,3,78,105.3,1,2018-03-24,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
247,2,0,0,4,18,112.8,0,2018-05-31,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
248,2,0,1,2,21,151.0,0,2018-08-15,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
249,1,0,1,3,0,91.0,1,2017-11-09,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
250,3,0,2,1,152,146.7,1,2018-08-13,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
251,2,0,2,3,43,58.4,0,2017-10-02,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
252,2,0,0,4,177,80.75,1,2018-07-26,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
253,2,0,1,1,47,76.5,0,2018-05-21,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
254,3,0,0,3,57,140.13,0,2018-09-07,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
255,2,0,2,4,60,76.0,1,2017-11-15,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
257,2,0,0,2,102,101.5,0,2017-10-16,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
260,3,0,1,1,1,166.0,3,2018-06-11,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
